title,y_max_salary,y_min_salary,pay_period,formatted_work_type,remote_allowed,application_type,formatted_experience_level,posting_domain,listed_time
""Senior Data Engineer"",145000,90000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.smartrecruiters.com,"2023-08-22 18:46:40"
""Senior Data Engineer"",145000,90000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.smartrecruiters.com,"2023-08-22 18:46:40"
""Senior Data Engineer"",145000,90000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.smartrecruiters.com,"2023-08-22 18:46:40"
""Senior Data Engineer"",145000,90000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.smartrecruiters.com,"2023-08-22 18:46:40"
""Senior Data Engineer/ Analyst (Remote)"",143000,72000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",carefirstcareers.ttcportals.com,"2023-11-03 22:20:00"
""Data Engineer"",141440,120640,HOURLY,Contract,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-22 18:46:40"
""Sr Data Engineer"",141440,120640,YEARLY,Contract,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-22 21:33:20"
""Quantitative Analytics professional - Data Engineering (Hybrid - 3 Days in Office)"",138000,92000,YEARLY,Full-time,No,OffsiteApply,Associate,careers.freddiemac.com,"2023-11-04 03:53:20"
""Oracle production support- •	Oracle Engineered system experience (Exadata  Exalogic and Private Cloud Appliance-PCA)"",135200,124800,HOURLY,Contract,Yes,SimpleOnsiteApply,,,"2023-11-03 22:20:00"
""Data Integration Engineer- REMOTE"",135200,72800,HOURLY,Contract,Yes,ComplexOnsiteApply,Associate,,"2023-08-22 18:46:40"
""Senior Azure Database Engineer"",135000,120000,YEARLY,Full-time,Yes,ComplexOnsiteApply,,,"2023-08-22 21:33:20"
""Senior Data Engineer (Public Sector)"",135000,108000,YEARLY,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-24 01:20:00"
""Specialist -Data Engineering"",133000,83000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 22:20:00"
""Data Engineer"",133000,58400,YEARLY,Full-time,No,OffsiteApply,,careers.boozallen.com,"2023-08-23 22:33:20"
""Data Validation / QA Engineer"",130000,110000,YEARLY,Full-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Senior Data Engineer"",130000,130000,YEARLY,Part-time,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-08-22 21:33:20"
""Data Warehouse Engineer"",124000,114000,YEARLY,Contract,Yes,SimpleOnsiteApply,"Entry level",www.alliedonesource.com,"2023-11-04 03:53:20"
""Scientific Programmer/Data Calibration Engineer"",118000,90000,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",,"2023-08-24 01:20:00"
""Database Engineer"",115000,75000,YEARLY,Full-time,Yes,ComplexOnsiteApply,"Entry level",apply.workable.com,"2023-11-02 21:20:00"
""Data Engineer"",114400,93600,HOURLY,Contract,No,ComplexOnsiteApply,,,"2023-08-23 00:20:00"
""Data Warehouse Engineer"",110000,90000,YEARLY,Full-time,No,ComplexOnsiteApply,Associate,,"2023-10-31 19:20:00"
""Data Engineer"",107881,95894,YEARLY,Full-time,No,OffsiteApply,"Entry level",careers.theheinekencompany.com,"2023-10-31 22:06:40"
""Implementation Data Engineer"",101000,88800,YEARLY,Full-time,Yes,OffsiteApply,"Entry level",jobs.gecareers.com,"2023-08-23 00:20:00"
""Software Engineer II - Data Assimilation"",96722,77377,YEARLY,Full-time,Yes,OffsiteApply,"Entry level",ucar.wd5.myworkdayjobs.com,"2023-11-03 22:20:00"
""Data Center Facilities Engineer"",71707,58536,YEARLY,Full-time,No,OffsiteApply,Associate,,"2023-11-03 00:06:40"
""Data Engineer"",0,0,,Full-time,No,OffsiteApply,,sjobs.brassring.com,"2023-11-04 03:53:20"
""Senior Azure Data Engineer"",0,0,,Full-time,Yes,OffsiteApply,"Mid-Senior level",,"2023-11-04 01:06:40"
""Data Engineer USA citizenship required REMOTE"",0,0,YEARLY,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 22:20:00"
""Data Engineer"",0,0,YEARLY,Full-time,Yes,OffsiteApply,"Mid-Senior level",boards.greenhouse.io,"2023-11-03 22:20:00"
""Senior Data Engineer"",0,0,,Full-time,Yes,OffsiteApply,"Mid-Senior level",www.signifyhealth.com,"2023-11-03 22:20:00"
""Database Engineer"",0,0,,Full-time,No,OffsiteApply,"Entry level",careers-myacuity.icims.com,"2023-11-03 22:20:00"
""Azure/Databricks Data Engineer - Empower (remote/US-based)"",0,0,YEARLY,Full-time,Yes,ComplexOnsiteApply,,jobs.smartrecruiters.com,"2023-11-03 22:20:00"
""Python/ Data Engineer"",0,0,,Full-time,No,ComplexOnsiteApply,,,"2023-11-03 22:20:00"
""Senior Data Engineer"",0,0,,Contract,Yes,ComplexOnsiteApply,,,"2023-11-03 22:20:00"
""Implementation Specialist  Well Data Lifecycle Solutions (Petroleum Engineer)"",0,0,,Full-time,No,OffsiteApply,"Entry level",,"2023-11-03 22:20:00"
""Senior Data Platform Engineer"",0,0,,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",app.greenhouse.io,"2023-11-03 22:20:00"
""Data Engineer - Power BI"",0,0,,Contract,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Data Engineer"",0,0,,Contract,Yes,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""AWS Database Engineer with Aurora and MySQL experience "",0,0,,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Python Data Engineer"",0,0,,Contract,No,ComplexOnsiteApply,Associate,,"2023-11-03 19:33:20"
""Data Engineer"",0,0,,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""Electrical Engineer (Mission Critical/Data Center)"",0,0,,Full-time,No,OffsiteApply,"Entry level",phe.tbe.taleo.net,"2023-11-03 19:33:20"
""Lead Mechanical Engineer (Mission Critical/Data Center)"",0,0,,Full-time,No,OffsiteApply,"Mid-Senior level",phe.tbe.taleo.net,"2023-11-03 19:33:20"
""Senior Lead Electrical Engineer (Mission Critical/Data Center)"",0,0,,Full-time,No,OffsiteApply,"Mid-Senior level",phe.tbe.taleo.net,"2023-11-03 19:33:20"
""Data Transport Infrastructure Operations Lead Engineer / MFT"",0,0,,Contract,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-04 06:40:00"
""Sr. Software Engineer - Data Platform"",0,0,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.ashbyhq.com,"2023-11-04 06:40:00"
""Data Engineer IV - Spectrum Reach"",0,0,,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.spectrum.com,"2023-11-04 09:26:40"
""AWS and Databricks Data Engineer / Architect"",0,0,,Full-time,No,OffsiteApply,,careers.wipro.com,"2023-11-04 01:06:40"
""Data Integrity Engineer"",0,0,,Contract,Yes,ComplexOnsiteApply,,,"2023-11-04 01:06:40"
""Big data Engineer"",0,0,,Contract,No,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 22:20:00"
""Data Engineer"",0,0,,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",,"2023-11-03 19:33:20"
""data engineer (bioinformatics)"",0,0,,Contract,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""Senior Data Platform Engineer"",0,0,,Full-time,Yes,ComplexOnsiteApply,"Mid-Senior level",www.equipmentshare.com,"2023-11-03 19:33:20"
""ETL Data Engineer with Oracle Data Integrator (ODI) and PL/"",0,0,,Contract,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""AWS DATA ARCHITECT / Engineer"",0,0,,Contract,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""Senior Data Engineer"",0,0,,Full-time,No,OffsiteApply,"Mid-Senior level",dsp.prng.co,"2023-11-03 19:33:20"
""Azure Data Engineer"",0,0,,Contract,No,ComplexOnsiteApply,,,"2023-11-03 19:33:20"
""Sr. Software Engineer - Data Platform"",0,0,YEARLY,Full-time,No,OffsiteApply,"Mid-Senior level",jobs.ashbyhq.com,"2023-11-03 19:33:20"
